衡量;héngliáng;HÀNH LƯỢNG;"so sánh; đánh giá; nhận định";""
新鲜;xīnxiān;TÂN TIÊN;"tươi; tươi mới (đồ ăn, hoa, máu,...); trong lành (không khí)";""
干戈;gāngē;CAN QUA;"can qua (ví với chiến tranh)";""
睚眦;yázì;NHAI TÍ;"trừng mắt; trợn mắt (oán giận)";""
侮辱;wǔrǔ;VŨ NHỤC;"làm nhục; sỉ nhục; lăng mạ";""
挑唆;tiǎosuō;KHIÊU TOA;"xúi giục; xúi bẩy";""
试图;shìtú;THÍ ĐỒ;"cố gắng; nỗ lực; tìm cách";""
忐忑;tǎntè;THẢM THẮC;"thấp thỏm; sốt ruột; không yên; bồn chồn; lo lắng không yên";""
荣誉;róngyù;VINH DỰ;"vinh dự; vẻ vang";""
持续;chíxù;TRÌ TỤC;"duy trì; kéo dài; tiếp tục; tiếp diễn";""
轩昂;xuān'áng;HIÊN NGANG;"ngẩng cao đầu; hiên ngang";""
放弃;fàngqì;PHÓNG KHÍ;"vứt bỏ; vứt đi; bỏ đi; từ bỏ";""
宽窄;kuānzhǎi;KHOAN TRÁCH;"rộng hẹp; bề rộng; bề ngang; khổ (diện tích, phạm vi)";""
拯救;zhěngjiù;CHỬNG CỨU;"cứu; cứu giúp; cứu trợ; giải cứu";""
呼唤;hūhuàn;HÔ HOÁN;"kêu gọi; kêu gào; kêu to; gào to; hô hoán";""
季节;jìjié;QUÝ TIẾT;"mùa; vụ; kỳ; thời vụ; thời kỳ";""
害羞;hàixiū;HẠI TU;"thẹn thùng; mắc cỡ; ngại ngùng; ngượng ngùng; ngại";""
拥挤;yōngjǐ;ỦNG TỄ;"chen; chen chúc; chen nhau; chen lấn; đông";""
在乎;zàihu;TẠI HỒ;"lưu ý; để ý; lưu tâm; quan tâm (thường dùng ở thể phủ định); ở";""
触碰;chù pèng;XÚC BÍNH;"chạm; đụng; đụng chạm; đề cập; đụng đến";""
竟敢;jìng gǎn;CÁNH CẢM;"lại dám";""
傀儡;kuǐlěi;QUỶ LỖI;"con rối; con rối bằng gỗ; con rối; bù nhìn; bung xung (chỉ người bị điều khiển, thường dùng trong chính trị)";""
凭条;píng tiáo;BẰNG ĐIỀU;"phiếu; biên lai";""
公告;gōnggào;CÔNG CÁO;"công bố; thông cáo; thông báo; tuyên cáo";""
拆迁;chāiqiān;SÁCH THIÊN;"phá dỡ; tháo dỡ; di dời; giải phóng; giải tỏa (mặt bằng)";""
乌龟;wūguī;Ô QUY;"rùa; con rùa";""
借口;jièkǒu;TÁ KHẨU;"mượn cớ; lấy cớ; viện cớ; kiếm cớ; gá tiếng; vin cớ";""
温柔;wēnróu;ÔN NHU;"dịu dàng; mềm mại; hoà nhã; thuỳ mị; điềm đạm; nhẹ nhàng (thường dùng đối với nữ giới)";""
来临;láilín;LAI LÂM;"đến; về; tới; đi lại; đi tới; đến gần";""
绊倒;bàndǎo;BÁN ĐẢO;"vấp; trượt; vấp ngã; vấp té; ngáng đường; ngáng chân";""
稍微;shāowēi;SẢO VI;"hơi; sơ qua; một chút; hơi hơi";""
幽默;yōumò;U MẶC;"hài hước; hóm hỉnh; dí dỏm; vui tính; tếu táo; hài";""
详细;xiángxì;TƯỜNG TẾ;"kỹ càng; tỉ mỉ; chi tiết; cụ thể; tinh tường";""
估计;gūjì;CỔ KẾ;"phỏng đoán; đoán chừng; dự đoán; ước chừng";""
尤其;yóuqí;VƯU KỲ;"càng; nhất là; đặc biệt là";""
羡慕;xiànmù;TIỆN MỘ;"ngưỡng mộ; ước ao; hâm mộ; đố kỵ; ghen ghét; thèm muốn";""
晚霞;wǎnxiá;VÃN HÀ;"ráng chiều";""
琵琶;pípa;TÌ BÀ;"đàn tì bà; đàn tỳ bà";""
讨厌;tǎoyàn;THẢO YẾM;"đáng ghét; phiền phức";""
媒体;méitǐ;MÔI THỂ;"truyền thông; giới truyền thông; cánh truyền thông; truyền thông phương tiện";""
效力;xiàolì;HIỆU LỰC;"hiệu lực; tác dụng; hiệu quả";""
搞砸;gǎo zá;CẢO TẠP;"làm hỏng; làm sai";""
解释;jiěshì;GIẢI THÍCH;"giải thích; giảng giải; giải nghĩa; cắt nghĩa; nói rõ hàm ý; nói rõ nguyên nhân; nói rõ lí do";""
严厉;yánlì;NGHIÊM LỆ;"nghiêm; nghiêm khắc; cứng rắn";""
鼓励;gǔlì;CỔ LỆ;"cổ vũ; khuyến khích; khích lệ; động viên";""
皮肤;pífū;BÌ PHU;"da; da dẻ; làn da; skin; trang phục (trò chơi)";""
翅膀;chìbǎng;SÍ BÀNG;"cánh; đôi cánh; cánh (bộ phận giống cánh)";""
碰巧;pèngqiǎo;BÍNH XẢO;"may; tình cờ; vừa hay; trùng hợp; vừa vặn; đúng lúc";""
诚恳;chéngkěn;THÀNH KHẨN;"chân thành; trung thực; thật thà; thành thật";""
胸膛;xiōngtáng;HUNG THANG;"ngực; lồng ngực";""
节奏;jiézòu;TIẾT TẤU;"nhịp nhàng; tiết tấu; nhịp độ; tiết tấu; nhịp điệu (trong âm nhạc)";""
情绪;qíngxù;TÌNH TỰ;"trạng thái; tâm lý; cảm xúc (trong một khoảng thời gian); hứng thú; háo hức; hào hứng; hứng khởi; nỗi buồn; ưu tư; suy tư; bực bội; bực dọc";""
奖惩;jiǎngchéng;TƯỞNG TRỪNG;"thưởng phạt; thưởng và phạt";""
额头;étóu;NGẠCH ĐẦU;"trán";""
侦探;zhēntàn;TRINH THÁM;"gián điệp; trinh sát; tình báo; thám tử";""
跟踪;gēnzōng;CÂN TUNG;"theo dõi; bám theo; theo gót; theo sát; theo dấu";""
投诉;tóusù;ĐẦU TỐ;"khiếu nại; phản ánh";""
扶梯;fútī;PHÙ THÊ;"thang cuốn";""
立即;lìjí;LẬP TỨC;"liền; ngay; lập tức; tức khắc; ngay lập tức";""
飘荡;piāodàng;PHIÊU ĐÃNG;"phất phới; phất phơ; dập dềnh; bồng bềnh; bay bổng; phiêu đãng; phiêu bạt; trôi giạt; lênh đênh; bềnh bồng; bập bềnh; di động";""
固执;gùzhi;CỐ CHẤP;"cố chấp; cứng đầu; ngoan cố; khăng khăng";""
翌日;yìrì;DỰC NHẬT;"ngày mai; ngày hôm sau";""
出席;chūxí;XUẤT TỊCH;"dự họp; tham dự; có mặt; đến dự";""
嬉戏;xīxì;HI HÍ;"vui chơi; vui đùa; nô đùa";""
沧桑;cāngsāng;THƯƠNG TANG;"bể dâu; thăng trầm; thịnh suy; từng trải; thay đổi; trắc trở";""
热衷;rèzhōng;NHIỆT TRUNG;"thích; rất thích; đam mê; hăm hở (theo đuổi danh lợi quyền thế)";""
粉丝;fěnsī;PHẤN TI;"fan; người hâm mộ; miến";""
悠久;yōujiǔ;DU CỬU;"lâu đời";""
症状;zhèngzhuàng;CHỨNG TRẠNG;"bệnh trạng; triệu chứng";""
凌乱;língluàn;LĂNG LOẠN;"hỗn độn; ngổn ngang; lộn xộn; bừa bộn";""
菩萨;púsà;BỒ TÁT;"Phật; Bồ Tát; thần Phật; tấm lòng Bồ Tát";""
绵绵;miánmián;MIÊN MIÊN;"triền miên; liên miên; miên man";""
乞讨;qǐtǎo;KHẤT THẢO;"ăn mày; xin xỏ";""
拥抱;yōngbào;ỦNG BÃO;"ôm; ôm nhau";""
淅沥;xīlì;TÍCH LỊCH;"tí tách; rả rích (từ tượng thanh, tiếng mưa nhỏ)";""
汹汹;xiōngxiōng;HUNG HUNG;"rào rạt (âm thanh sóng nước); khí thế to lớn (mang ý nghĩa xấu); náo nhiệt; ồn ào";""
地势;dìshì;ĐỊA THẾ;"địa thế; hình thế; địa hình";""
频繁;pínfán;TẦN PHỒN;"gia tăng; dày đặc; nhiều lần; tới tấp; thường xuyên";""
财务;cáiwù;TÀI VỤ;"tài vụ; tài chính; kế toán";""
商业;shāngyè;THƯƠNG NGHIỆP;"thương nghiệp; thương mại";""
添加;tiānjiā;THIÊM GIA;"thêm; thêm vào; cho thêm";""
建议;jiànyì;KIẾN NGHỊ;"kiến nghị; khuyên; góp ý; đề nghị";""
导航;dǎoháng;ĐẠO HÀNG;"hướng dẫn; dẫn đường; điều hướng; định vị (tàu thuyền hoặc máy bay)";""
堵塞;dǔsè;ĐỔ TẮC;"tắc nghẽn; ngăn chặn";""
滞;zhì;TRỆ;"đình trệ; ngưng đọng; ứ đọng; không thông; kẹt lại";""
特殊;tèshū;ĐẶC THÙ;"đặc thù; đặc biệt";""
眼眶;yǎnkuàng;NHÃN KHUÔNG;"viền mắt; vành mắt; quầng mắt";""
湿润;shīrùn;THẤP NHUẬN;"ướt đẫm; ướt; ẩm; ẩm ướt; ẩm thấp (đất đai, không khí...)";""
诉说;sùshuō;TỐ THUYẾT;"kể ra; nói ra; kể về; giãi bày; tâm sự; bày tỏ";""
余生;yúshēng;DƯ SINH;"cuối đời; quãng đời còn lại";""
结尾;jiéwěi;KẾT VĨ;"phần cuối; phần kết; cuối bài; giai đoạn cuối; lời nói cuối; hành động cuối cùng; giai đoạn kết thúc";""
禁止;jìnzhǐ;CẤM CHỈ;"cấm; cấm đoán; ngăn chặn; không cho phép";""
露珠;lùzhū;LỘ CHÂU;"giọt sương; hạt sương; lộ";""
激烈;jīliè;KÍCH LIỆT;"gay gắt; gay go; kịch liệt; quyết liệt; sôi nổi; dữ dội; mạnh mẽ; mãnh liệt; kịch liệt";""
手段;shǒuduàn;THỦ ĐOẠN;"cách; phương pháp; phương tiện; mánh khoé; thủ đoạn; bản lĩnh; tài năng";""
玻璃窗;bōli chuāng;PHA LI SONG;"cửa sổ kính";""
放过;fàngguò;PHÓNG QUÁ;"tha đi, bỏ qua, tha cho";""
折扣;zhékòu;CHIẾT KHẤU;"chiết khấu; giảm giá; thiếu hụt; giảm bớt";""
筛选;shāixuǎn;SI TUYẾN;"lọc; chọn lọc; sàng lọc";""
闺;guī;KHUÊ;"cửa tò vò (cửa trên tròn dưới vuông); khuê phòng (chỗ con gái ở)";""
慈祥;cíxiáng;TỪ TƯỜNG;"hiền từ; hiền hậu; đôn hậu; tử tế; ân cần (thái độ, thần sắc của người già)";""
轻易;qīngyì;KHINH DỊ;"tùy tiện";""
怀里;huái lǐ;HOÀI LÍ;"ngực; lòng; trong lòng; lồng ngực; trên tay";""
允许;yǔnxǔ;DOÃN HỨA;"cho phép; đồng ý; được phép";""
方便;fāngbiàn;PHƯƠNG TIỆN;"thuận lợi; thuận tiện; tiện";""
丢人;diūrén;ĐÂU NHÂN;"mất mặt; xấu mặt; mất thể diện; bẽ mặt";""
梳理;shūlǐ;SƠ LÍ;"chải (râu, tóc); sắp xếp; phân loại";""
充电;chōngdiàn;SUNG ĐIỆN;"nạp điện; sạc điện; sạc pin; nâng cao; cập nhật; học hỏi";""
堵住;dǔzhù;ĐỔ TRÚ;"ứ; tắc; chặn; đọng; nghẹt; bịt kín; làm nghẽn";""
顺畅;shùnchàng;THUẬN SƯỚNG;"suôn sẻ; trôi chảy; thuận lợi; thông suốt; thông thoáng; mượt mà";""
针灸;zhēnjiǔ;CHÂM CỨU;"châm cứu";""
数据;shùjù;SỐ CỨ;"số liệu; dữ liệu";""
肥胖;féipàng;PHÌ BÀN;"mập; béo; béo phì; to béo";""
封锁;fēngsuǒ;PHONG TOẢ;"chặn; toả; phong toả; bao vây; phong toả (áp dụng những biện pháp quân sự, không cho thông hành)";""
诽谤;fěibàng;PHỈ BÁNG;"nói xấu; phỉ báng; gièm pha";""
冲突;chōngtū;XUNG ĐỘT;"xung đột; mâu thuẫn; bất đồng; đụng chạm; công kích; mâu thuẫn; trái ngược; xung đột";""
遗憾;yíhàn;DI HÁM;"tiếc; đáng tiếc; tiếc nuối; lấy làm tiếc";""
初恋;chūliàn;SƠ LUYẾN;"mối tình đầu; tình yêu đầu tiên";""
基础;jīchǔ;CƠ SỞ;"cơ bản; nền tảng; cơ sở; căn bản; nền móng; móng";""
谚语;yànyǔ;NGẠN NGỮ;"ngạn ngữ";""
柜台;guìtái;QUỸ ĐÀI;"quầy; quầy hàng";""
领取;lǐngqǔ;LĨNH THỦ;"lĩnh; nhận; lãnh";""
旨在;zhǐ zài;CHỈ TẠI;"nhằm; nhắm đến (mục đích gì đó)";""
字幕;zìmù;TỰ MẠC;"phụ đề; chữ thuyết minh (trên màn ảnh, sân khấu)";""
移除;yíchú;DI TRỪ;"gỡ bỏ; di dời; dời đi; xóa bỏ; loại bỏ";""
确实;quèshí;XÁC THỰC;"thực sự; xác thực; chính xác; đích xác";""
搞坏;gǎo huài;CẢO HOẠI;"bét; làm hỏng; phá hỏng";""
摔断;shuāi duàn;SUẤT ĐOẠN;"gãy; gãy xương do ngã; làm vỡ; làm rơi và vỡ";""
暑假;shǔjià;THỬ GIÁ;"nghỉ hè; kỳ nghỉ hè";""
铺垫;pūdiàn;PHÔ ĐIẾM;"làm nền; làm đệm phóng; tạo tiền đề; trải; lót";""
倾听;qīngtīng;KHUYNH THÍNH;"lắng nghe; chú ý nghe";""
概念;gàiniàn;KHÁI NIỆM;"khái niệm; ý niệm";""
比喻;bǐyù;TỈ DỤ;"ví; ví von; so sánh";""
魔法;mófǎ;MA PHÁP;"ma thuật; phép thuật; ảo thuật";""
耐心;nàixīn;NẠI TÂM;"kiên trì; kiên nhẫn; nhẫn nại";""
甚至;shènzhì;THẬM CHÍ;"thậm chí; ngay cả; đến nỗi; hơn nữa";""
控制;kòngzhì;KHỐNG CHẾ;"kiềm chế; kiểm soát; điều khiển; làm chủ; khống chế; kiểm soát";""
分泌;fēnmì;PHÂN BÍ;"tiết; tiết ra";""
差不多;chàbuduō;SAI BẤT ĐA;"như nhau; tương tự; na ná nhau; tựa tựa nhau; gần giống nhau; gần như; hầu như; tàm tạm; tương đối; gần hết; gần xong";""
受害者;shòuhàizhě;THỤ HẠI GIẢ;"nạn nhân; người bị hại";""
视频;shìpín;THỊ TẦN;"video; băng hình";""
旅程;lǚchéng;LỮ TRÌNH;"lữ trình; lộ trình; hành trình; chặng đường đi";""
姿态;zītài;TƯ THÁI;"tư thế; dáng dấp; điệu bộ; dáng vẻ; thái độ; phong thái";""
相伴;xiāngbàn;TƯƠNG BẠN;"đồng hành; ở bên; bầu bạn";""
四季;sìjì;TỨ QUÝ;"bốn mùa";""
喜悦;xǐyuè;HỈ DUYỆT;"hồ hởi; vui mừng; vui sướng; vui thích; khoái trá; thích thú";""
为啥;wèi shá;VỊ XÁ;"tại sao";""
照顾;zhàogù;CHIẾU CỐ;"chăm sóc; săn sóc; trông nom; xem xét; chú ý; tính đến; chiếu cố; chú ý đặc biệt; quan tâm; ủng hộ";""
监控;jiānkòng;GIÁM KHỐNG;"quản chế; theo dõi; CCTV; giám sát và điều khiển";""
焦虑;jiāolǜ;TIÊU LỰ;"lo nghĩ; lo âu; lo lắng; hồi hộp";""
抑郁;yìyù;ỨC ÚC;"trầm cảm";""
改革;gǎigé;CẢI CÁCH;"cải cách; cải tiến; đổi mới (thường là chế độ, chính sách...)";""
内卷;nèi juǎn;NỘI QUYỂN;"cạnh tranh";""
互联网;hùliánwǎng;HỖ LIÊN VÕNG;"internet; mạng xã hội";""
一晃;yīhuàng;NHẤT HOẢNG;"chớp mắt; nhoáng cái";""
纷纷;fēnfēn;PHÂN PHÂN;"loạn xạ; lả tả; hỗn loạn; rối rắm";""
牛逼;niú bī;NGƯU BỨC;"đỉnh; giỏi; ngầu; tuyệt vời; lợi hại; trâu bò; tài giỏi; xuất sắc";""
瞬间;shùnjiān;THUẤN GIAN;"chốc lát; giây phút; khoảnh khắc; trong chớp mắt; trong nháy mắt";""
崩溃;bēngkuì;BĂNG HỘI;"suy sụp; tan vỡ; sụp đổ";""
犯规;fànguī;PHẠM QUY;"phạm luật; phạm lỗi; phạm quy";""
揣摩;chuǎimó;SỦY MA;"đoán; phỏng đoán; ước đoán; nghiền ngẫm";""
坚固;jiāngù;KIÊN CỐ;"kiên cố; vững chắc; vững vàng; chắc chắn";""
结实;jiēshi;KẾT THỰC;"bền; chắc; kiên cố; chắc chắn; rắn chắc; khỏe mạnh; cường tráng";""
病菌;bìngjūn;BỆNH KHUẨN;"vi khuẩn; vi khuẩn gây bệnh";""
最终;zuìzhōng;TỐI CHUNG;"cuối; cuối cùng; sau cùng";""
着呢;zhene;TRƯỚC NI;"lắm";""
亲手;qīnshǒu;THÂN THỦ;"tự tay; chính tay";""
屏幕;píngmù;BÌNH MẠC;"màn hình";""
残忍;cánrěn;TÀN NHẪN;"tàn nhẫn; hung ác; độc địa; tàn ác";""
供奉;gòngfèng;CUNG PHỤNG;"phụng dưỡng; cung phụng; thờ cúng; cung cấp; cung ứng";""
寺庙;sìmiào;TỰ MIẾU;"đền; chùa; ngôi đền; chùa miếu; chùa chiền";""
优雅;yōuyǎ;ƯU NHÃ;"tao nhã; thanh nhã; thanh lịch";""
丈;zhàng;TRƯỢNG;"chồng; trượng; ông (tôn xưng những người đàn ông già cả)";""
成熟;chéngshú;THÀNH THỤC;"hoàn thiện; cẩn thận; chín chắn; kỹ càng; chín muồi; thích hợp; dày dặn";""
轻松;qīngsōng;KHINH TÙNG;"dễ dàng; thư giản; ung dung; nhẹ nhõm; thoải mái";""
挫折;cuòzhé;TOẢ CHIẾT;"khó khăn; trở ngại; thất bại; trắc trở; sự cản trở";""
游戏;yóuxì;DU HÍ;"trò chơi";""
扩张;kuòzhāng;KHUẾCH TRƯƠNG;"mở rộng; bành trướng; khuếch trương; giãn; nở";""
违抗;wéikàng;VI KHÁNG;"chống lại; làm trái; không tuân theo";""
新娘;xīnniáng;TÂN NƯƠNG;"cô dâu; tân nương";""
迷人;mírén;MÊ NHÂN;"quyến rũ; hấp dẫn; thu hút; cuốn hút; lôi cuốn";""
格外;géwài;CÁCH NGOẠI;"đặc biệt; vô cùng; cực kỳ; hết sức; rất đỗi; riêng; ngoài ra; đặc biệt (làm)";""
舍不得;shěbude;XẢ BẤT ĐẮC;"không nỡ; luyến tiếc; tiếc rẻ";""
公寓;gōngyù;CÔNG NGỤ;"căn hộ; chung cư; khu chung cư";""
抄送;chāo sòng;SAO TỐNG;"gửi bản sao; đưa bản sao";""
录取;lùqǔ;LỤC THỦ;"tuyển chọn; nhận vào; lấy; ghi lại";""
包括;bāokuò;BAO QUÁT;"gồm; có; bao gồm; bao quát; gồm có; tính đến; kể cả; chất chứa";""
美食;měishí;MĨ THỰC;"món ngon; ẩm thực";""
安装;ānzhuāng;AN TRANG;"lắp; ráp; lắp ráp; lắp đặt; cài đặt; cài phần mềm";""
套餐;tàocān;SÁO XAN;"suất; phần; phần ăn; suất ăn; gói; gói cước";""
限额;xiàn'é;HẠN NGẠCH;"hạn ngạch; hạn mức";""
观众;guānzhòng;QUAN CHÚNG;"khán giả; người xem; quần chúng; công chúng";""
训练;xùnliàn;HUẤN LUYỆN;"huấn luyện; tập luyện; tôi luyện; rèn luyện";""
尽管;jǐnguǎn;TẪN QUẢN;"cứ; cứ việc";""
大概;dàgài;ĐẠI KHÁI;"độ; tầm; chắc; khoảng chừng; có thể; có lẽ; rất có thể";""
比较;bǐjiào;TỶ GIẢO;"so với; hơn; so sánh; so đo; sánh cùng";""
心脏;xīnzàng;TÂM TẠNG;"tim; trái tim; trung tâm; nền tảng; trọng tâm; cốt lõi";""
传递;chuándì;TRUYỀN ĐỆ;"chuyền; chuyển; truyền đạt; truyền tải";""
相当;xiāngdāng;TƯƠNG ĐƯƠNG;"tương đương; ngang nhau";""
毫无;háo wú;HÀO VÔ;"không; không hề; không chút; không có";""
天涯海角;tiānyáhǎijiǎo;THIÊN NHAI HẢI GIÁC;"chân trời góc biển; chân mây cuối trời; chân mây mặt bể; đầu ghềnh cuối biển";""
到达;dàodá;ĐÁO ĐẠT;"đến; tới (một địa điểm, một giai đoạn nào đó)";""
正常;zhèngcháng;CHÍNH THƯỜNG;"bình thường; như thường";""
拖延;tuōyán;ĐÀ DIÊN;"kéo dài; trì hoãn; dây dưa; cò cưa; lề mề";""
赞助;zànzhù;TÁN TRỢ;"tài trợ; đồng ý giúp đỡ";""
逝世;shìshì;THỆ THẾ;"từ trần; tạ thế; qua đời";""
隐藏;yǐncáng;ẨN TÀNG;"giấu; trốn; ẩn trốn; che giấu; trốn tránh; giấu kín";""
