Simplified,Translation,Traditional,Pinyin
她不吝时间和精力帮助他人。,Cô ấy không tiếc thời gian và nỗ lực để giúp đỡ người khác.,她不吝時間和精力幫助他人。,tā bùlìn shíjiān hé jīnglì bāngzhù tārén 。
我们不吝提供任何帮助。,Chúng tôi không tiếc việc cung cấp bất kỳ sự giúp đỡ nào.,我們不吝提供任何幫助。,wǒmen bùlìn tígōng rènhé bāngzhù 。
他不吝赞扬朋友的才华。,Anh ấy không tiếc lời khen ngợi tài năng của bạn mình.,他不吝讚揚朋友的才華。,tā bùlìn zànyáng péngyǒu de cáihuá 。
这家餐厅的服务员不吝微笑。,Nhân viên nhà hàng luôn không tiếc nụ cười.,這家餐廳的服務員不吝微笑。,zhèjiā cāntīng de fúwùyuán bùlìn wēixiào 。
他不吝花费时间和金钱去旅行。,Anh ấy không tiếc thời gian và tiền bạc để du lịch.,他不吝花費時間和金錢去旅行。,tā bùlìn huāfèi shíjiān hé jīnqián qù lǚxíng 。
我们不吝提供意见来帮助你。,Chúng tôi không tiếc đưa ra ý kiến để giúp bạn.,我們不吝提供意見來幫助你。,wǒmen bùlìn tígōng yìjiàn lái bāngzhù nǐ 。
他不吝公开自己的秘密。,Anh ấy không tiếc việc công khai những bí mật của mình.,他不吝公開自己的祕密。,tā bùlìn gōngkāi zìjǐ de mìmì 。
这家酒店的服务不吝尽力满足客人需求。,Dịch vụ khách sạn không tiếc việc nỗ lực đáp ứng nhu cầu của khách.,這家酒店的服務不吝盡力滿足客人需求。,zhèjiā jiǔdiàn de fúwù bùlìn jìnlì mǎnzú kèrén xūqiú 。
她不吝花费时间来研究这个问题。,Cô ấy không tiếc thời gian để nghiên cứu vấn đề này.,她不吝花費時間來研究這個問題。,tā bùlìn huāfèi shíjiān lái yánjiū zhège wèntí 。
这家公司的员工不吝付出努力。,Nhân viên công ty không tiếc việc nỗ lực.,這家公司的員工不吝付出努力。,zhèjiā gōngsī de yuángōng bùlìn fùchū nǔlì 。
他不吝赞扬团队的合作精神。,Anh ấy không tiếc lời khen ngợi tinh thần hợp tác của đội.,他不吝讚揚團隊的合作精神。,tā bùlìn zànyáng tuánduì de hézuò jīngshén 。
这家出版社不吝投入资源出版好书。,Nhà xuất bản không tiếc đầu tư tài nguyên để xuất bản những cuốn sách tốt.,這家出版社不吝投入資源出版好書。,zhèjiā chūbǎnshè bùlìn tóurù zīyuán chūbǎn hǎoshū 。
他不吝付出努力去实现梦想。,Anh ấy không tiếc việc nỗ lực để thực hiện ước mơ.,他不吝付出努力去實現夢想。,tā bùlìn fùchū nǔlì qù shíxiàn mèngxiǎng 。
这家机构不吝提供帮助给有需要的人。,Tổ chức không tiếc việc cung cấp sự giúp đỡ cho những người có nhu cầu.,這家機構不吝提供幫助給有需要的人。,zhèjiā jīgòu bùlìn tígōng bāngzhù gěi yǒu xūyào de rén 。
他不吝分享自己的经验。,Anh ấy không tiếc việc chia sẻ kinh nghiệm của mình.,他不吝分享自己的經驗。,tā bùlìn fēnxiǎng zìjǐ de jīngyàn 。
这家博物馆不吝展示历史文物。,Bảo tàng không tiếc việc trưng bày các cổ vật lịch sử.,這家博物館不吝展示歷史文物。,zhèjiā bówùguǎn bùlìn zhǎnshì lìshǐwénwù 。
他不吝为朋友付出。,Anh ấy không tiếc việc làm mọi thứ cho bạn mình.,他不吝爲朋友付出。,tā bùlìn wèi péngyǒu fùchū 。
这家图书馆不吝提供免费资源。,Thư viện không tiếc việc cung cấp các nguồn tài nguyên miễn phí.,這家圖書館不吝提供免費資源。,zhèjiā túshūguǎn bùlìn tígōng miǎnfèizīyuán 。
他不顾一切地跳进冰冷的河里救人。,Anh ta đã nhảy vào dòng sông lạnh lẽo đó không ngần ngại để cứu người khác.,他不顧一切地跳進冰冷的河裏救人。,tā bùgùyīqiè dì tiàojìn bīnglěng de hélǐ jiùrén 。
她不顾一切地追赶那只迷路的小猫。,Cô ấy đã đuổi theo con mèo lost không do dự.,她不顧一切地追趕那隻迷路的小貓。,tā bùgùyīqiè dì zhuīgǎn nà zhǐ mílù de xiǎomāo 。
他不顾一切地放弃了稳定的工作。,Anh ta đã từ bỏ công việc ổn định mà không do dự.,他不顧一切地放棄了穩定的工作。,tā bùgùyīqiè dì fàngqì le wěndìng de gōngzuò 。
她不顾一切地坚持自己的梦想。,Cô ấy đã kiên trì theo đuổi ước mơ của mình mà không do dự.,她不顧一切地堅持自己的夢想。,tā bùgùyīqiè dì jiānchí zìjǐ de mèngxiǎng 。
他不顾一切地冲向火焰。,Anh ta đã lao vào ngọn lửa mà không do dự.,他不顧一切地衝向火焰。,tā bùgùyīqiè dì chōngxiàng huǒyàn 。
她不顾一切地选择独自旅行。,Cô ấy đã chọn đi du lịch một mình mà không do dự.,她不顧一切地選擇獨自旅行。,tā bùgùyīqiè dì xuǎnzé dúzì lǚxíng 。
他不顾一切地为了爱情而奋斗。,Anh ta đã đấu tranh vì tình yêu mà không do dự.,他不顧一切地爲了愛情而奮鬥。,tā bùgùyīqiè dì wèile àiqíng ér fèndòu 。
她不顾一切地投入了全部的热情。,Cô ấy đã bỏ hết nhiệt huyết vào đó mà không do dự.,她不顧一切地投入了全部的熱情。,tā bùgùyīqiè dì tóurù le quánbù de rèqíng 。
他不顾一切地为梦想努力。,Anh ta đã cố gắng hết sức vì ước mơ của mình.,他不顧一切地爲夢想努力。,tā bùgùyīqiè dìwèi mèngxiǎng nǔlì 。
她不顾一切地追求自由。,Cô ấy đã theo đuổi tự do mà không do dự.,她不顧一切地追求自由。,tā bùgùyīqiè dì zhuīqiú zìyóu 。
